locator_domain,location_name,street_address,city,state,zip,country_code,store_number,phone,location_type,latitude,longitude,hours_of_operation
https://www.orangeshoe.com/ChicagoAndersonville,Andersonville,5609 N Clark St.,Chicago,IL,60660,US,<MISSING>,7736543863,LocalBusiness,41.983781,-87.668543,Sunday: 07:00-13:00; Monday: 06:00-21:00; Tuesday: 06:00-21:00; Wednesday: 06:00-21:00; Thursday: 06:00-21:00; Friday: 06:00-20:00; Saturday: 07:00-13:00
https://www.orangeshoe.com/Brookfield,Brookfield,14960 W Greenfield Ave,Brookfield,WI,53005,US,<MISSING>,2627824444,LocalBusiness,43.017294,-88.098998,Sunday: 06:00-15:00; Monday: 05:30-22:00; Tuesday: 05:30-22:00; Wednesday: 05:30-22:00; Thursday: 05:30-22:00; Friday: 05:30-22:00; Saturday: 06:00-15:00
https://www.orangeshoe.com/Fitchburg,Fitchburg,6200 Nesbitt Rd.,Fitchburg,WI,53719,US,<MISSING>,6082709480,LocalBusiness,43.012964,-89.474997,Sunday: 06:00-15:00; Monday: 05:30-22:00; Tuesday: 05:30-22:00; Wednesday: 05:30-22:00; Thursday: 05:30-22:00; Friday: 05:30-22:00; Saturday: 06:00-15:00
https://www.orangeshoe.com/Lakeview,Lakeview,3845 N Lincoln Ave,Chicago,IL,60613,US,<MISSING>,7738573112,LocalBusiness,41.951722,-87.676812,Sunday: NONE; Monday: 06:00-21:00; Tuesday: 06:00-21:00; Wednesday: 06:00-21:00; Thursday: 06:00-21:00; Friday: 06:00-20:00; Saturday: 07:00-13:00
https://www.orangeshoe.com/MadisonDowntown,Madison Downtown,1 E Main St.,Madison,WI,53703,US,<MISSING>,6082550525,LocalBusiness,43.073929,-89.382154,Sunday: NONE; Monday: 05:00-22:00; Tuesday: 05:00-22:00; Wednesday: 05:00-22:00; Thursday: 05:00-22:00; Friday: 05:00-22:00; Saturday: 06:00-15:00
https://www.orangeshoe.com/MadisonUniversityAve,Madison University Ave,2905 University Ave.,Madison,WI,53705,US,<MISSING>,6082394675,LocalBusiness,43.074686,-89.439528,Sunday: 5:00-21:00; Monday: 5:00-21:00; Tuesday: 5:00-21:00; Wednesday: 5:00-21:00; Thursday: 5:00-21:00; Friday: 5:00-21:00; Saturday: 5:00-21:00
https://www.orangeshoe.com/MadisonWest,Madison West,601 Junction Rd,Madison,WI,53717,US,<MISSING>,6082035169,LocalBusiness,43.073230,-89.524994,Sunday: NONE; Monday: 05:00-22:00; Tuesday: 05:00-22:00; Wednesday: 05:00-22:00; Thursday: 05:00-22:00; Friday: 05:00-22:00; Saturday: 06:00-15:00
https://www.orangeshoe.com/Pewaukee,Pewaukee,1450 Capitol Drive,Pewaukee,WI,53072,US,<MISSING>,2623917739,LocalBusiness,43.083598,-88.225699,Sunday: 5:00-21:00; Monday: 5:00-21:00; Tuesday: 5:00-21:00; Wednesday: 5:00-21:00; Thursday: 5:00-21:00; Friday: 5:00-21:00; Saturday: 5:00-21:00
https://www.orangeshoe.com/SunPrairie,Sun Prairie,120 N Grand Ave.,Sun Prairie,WI,53590,US,<MISSING>,2144038586,LocalBusiness,43.181274,-89.264600,Sunday: 5:00-21:00; Monday: 5:00-21:00; Tuesday: 5:00-21:00; Wednesday: 5:00-21:00; Thursday: 5:00-21:00; Friday: 5:00-21:00; Saturday: 5:00-21:00
https://www.orangeshoe.com/Waunakee,Waunakee,114 E Main St.,Waunakee,WI,53597,US,<MISSING>,6084495013,LocalBusiness,43.1916158,-89.45346240000003,Sunday: NONE; Monday: 0:6:00-20:00; Tuesday: 0:6:00-20:00; Wednesday: 0:6:00-20:00; Thursday: 0:6:00-20:00; Friday: 0:6:00-20:00; Saturday: 07:00-11:00
