locator_domain,location_name,street_address,city,state,zip,country_code,store_number,phone,location_type,naics_code,latitude,longitude,hours_of_operation
brusters.com,Waldorf,1276 Smallwood Drive W,Waldorf,MD,20603,US,364,,,,38.6127125,-76.929692,
brusters.com,Cypress TX,14131 Mueschke Road #201,Cypress,TX,77429,US,365,,,,29.9805344,-95.7173341,
brusters.com,Maryville,1400 W. Broadway,Maryville,TN,37801,US,366,,,,38.2477584,-85.7755293,
brusters.com,Duluth GA,2628 Pleasant Hill Road Suite 500,Duluth,GA,30096,US,367,,,,33.9716705,-84.14775949999999,
brusters.com,Cascade,"3695 Cascade Road, Suite F",Atlanta,GA,30331,US,368,,,,33.724976,-84.5083727,
brusters.com,Huntington Beach,7451 Warner Avenue Unit H,Huntington Beach,CA,92647,US,369,,,,33.7161097,-117.9984344,
brusters.com,Gilbert,709 West Ray Road,Gilbert,AZ,85233,US,370,,,,33.3203547,-111.8046444,
brusters.com,Robinson Township,5888 Unit #2 Steubenville Pike,McKees Rocks,PA,15136,US,371,,,,40.4492372,-80.141986,
brusters.com,Garden Grove,12879 Harbor Blvd.,Garden Grove,CA,92840,US,372,,,,33.7762577,-117.9171652,
brusters.com,Gibsonia,4937 William Flynn Hwy Route 8,Gibsonia,PA,15044,US,373,,,,40.604133,-79.947589,
brusters.com,Orange,510 North Tustin Street,Orange,CA,92867,US,374,,,,33.7953602,-117.8360201,
brusters.com, Torrance,2390 Crenshaw Blvd. Unit F,Torrance,CA,90501,US,375,,,,33.8222679,-118.3281591,
brusters.com,Highland,571 S. Highland Street,Memphis,TN,38111,US,376,,,,35.1159726,-89.9459092,
brusters.com,Hagerstown,100 Railway Lane,Hagerstown,MD,21740,US,377,,,,39.6298044,-77.7643853,
brusters.com,McKinney,7650 Stacy Road Suite 210,McKinney,TX,75070,US,378,,,,33.1528106,-96.71716529999999,
brusters.com,Arrowhead,17115 N 51st Ave,Glendale,AZ,85308,US,380,,,,33.6399825,-112.1685902,
brusters.com,Haverhill,130 Main Street,Haverhill,MA,01830,US,381,,,,40.7254607,-74.1448927,
brusters.com,Windermere,5855 Winter Garden  Vineland Road,Windermere,FL,34786,US,382,,,,28.4775013,-81.5730501,
brusters.com,Bruster's Frisco/Little Elm,"1648 FM 423, Suite 100",Frisco,TX,75033,US,383,,,,33.1552644,-96.890973,
brusters.com,Provo,2255 University Drive,Provo,UT,84604,US,384,,,,42.3097208,-83.0645025,
brusters.com,Guyana,32-33 Regent & Hinck St. Robbstown,Georgetown,Guyana,05924,US,555,,,,6.8115855,-58.16615569999999,
brusters.com,Tallahassee Satellite,2475 Apalachee Parkway,Tallahassee,FL,32301,US,805,,,,30.4274212,-84.2391578,
brusters.com,Korea 1,"18, Meokgeori 10-gil, Dongnam-gu		",Cheonan City,Chungceongnam do,Korea,US,806,,,,36.8177797,127.1556629,
brusters.com,Korea 2,"Bong Chun Dong, 729-22",Seoul,Korea,Korea,US,807,,,,,,
brusters.com,Korea 3 (Daedong Department),"44-1 Sangnam-dong, Seongsan-gu",Changwon-si,Gyeongsangnam-do,51498,US,808,,,,35.2189019,128.6895637,
brusters.com,Korea #4,"50-6, Ewhayeodae-gil, Seodaemun-gu",Seoul,Korea,,US,809,,,,37.5589875,126.9460446,
brusters.com,Nathan's Oceanside,3131 Long Beach Road,Oceanside,NY,11572,US,811,,,,40.6354885,-73.6400536,
brusters.com,Ft. Benning Satellite,1710 Ingersoll Street,Columbus,GA,31905,US,814,,,,39.9745025,-75.1643236,
brusters.com,Simpsonville Satellite,3841 Grandview Drive,Simpsonville,SC,29680,US,815,,,,41.193669,-111.958281,
brusters.com,Montgomery Satellite,10684 Chantilly Parkway                     ,Montgomery,AL,36117,US,818,,,,32.3563296,-86.1331096,
brusters.com,Severna Park Satellite,"160 Ritchie Hwy., Suite A-12",Severna,MD,21146,US,820,,,,39.098557,-76.566194,
brusters.com,Dunwoody Bruster's,5503 Chamblee Dunwoody Road,Dunwoody,GA,30338,US,823,,,,33.9490542,-84.3339743,
brusters.com,Guyana 2,Lot 203 Camp Street,Georgetown,Guyana,5925,US,901,,,,31.6058899,-89.2041517,
