"locator_domain","location_name","street_address","city","state","zip","country_code","store_number","phone","location_type","latitude","longitude","hours_of_operation"
"https://inglotcosmetics.com/stores","MACY'S UNION SQUARE","170 O’Farrell Street","San Francisco","CA","94102","US","450","<MISSING>","<MISSING>","37.78685583294755","-122.40666003362543","<MISSING>"
"https://inglotcosmetics.com/stores","MACY'S VALLEY FAIR SANTA CLARA","2801 Stevens Creek Blvd","Santa Clara","CA","95050","US","452","<MISSING>","<MISSING>","37.324617551427025","-121.94807285700836","<MISSING>"
"https://inglotcosmetics.com/stores","MACY'S ANTELOPE VALLEY","1123 Rancho Vista Blvd","Palmdale","CA","93551","US","444","<MISSING>","<MISSING>","34.60478896949849","-118.15010511471519","<MISSING>"
"https://inglotcosmetics.com/stores","MACY'S SANTA ANITA","400 Baldwin Ave","Arcadia","CA","91006","US","412","<MISSING>","<MISSING>","34.13345566710805","-118.05170758538895","<MISSING>"
"https://inglotcosmetics.com/stores","NIGEL`S BEAUTY EMPORIUM / MONDA STUDIO","11252 Magnolia Blvd","North Hollywood Los Angeles","CA","91601","US","441","<MISSING>","<MISSING>","34.16477853492482","-118.37643349141905","<MISSING>"
"https://inglotcosmetics.com/stores","MACY'S MONTEBELLO","2000 Montebello Town Center","Montebello","CA","90640","US","431","<MISSING>","<MISSING>","34.0351731","-118.08374550000002","<MISSING>"
"https://inglotcosmetics.com/stores","MACY'S SHERMAN OAKS","14000 Riverside Dr","Sherman Oaks","CA","91423","US","453","<MISSING>","<MISSING>","34.157224776467906","-118.43559761045071","<MISSING>"
"https://inglotcosmetics.com/stores","MACY'S BEVERLY CENTER","8500 Beverly Blvd","Los Angeles","CA","90048","US","428","<MISSING>","<MISSING>","34.0753309","-118.37749329999997","<MISSING>"
"https://inglotcosmetics.com/stores","MACY'S CULVER CITY","6200 Slauson Ave","Culver City","CA","90230","US","420","<MISSING>","<MISSING>","33.98637025327291","-118.39365719259035","<MISSING>"
"https://inglotcosmetics.com/stores","MACY'S TEMECULA PROMENADE","40780 Winchester Road","Temecula","CA","92591","US","454","<MISSING>","<MISSING>","33.523111901866855","-117.15409791527901","<MISSING>"
"https://inglotcosmetics.com/stores","MACY'S MAIN PLACE SANTA ANA","2850 N Main St","Santa Ana","CA","92868","US","451","<MISSING>","<MISSING>","33.77604722740829","-117.86927988863829","<MISSING>"
"https://inglotcosmetics.com/stores","MACY'S COAST PLAZA","3333 Bristol Street","Costa Mesa","CA","92626","US","419","<MISSING>","<MISSING>","33.6902582355934","-117.8891531805649","<MISSING>"
"https://inglotcosmetics.com/stores","MACY'S FASHION ISLAND","101 Newport Center Drive","Newport Beach","CA","92660","US","440","<MISSING>","<MISSING>","33.615928476227815","-117.87580601652871","<MISSING>"
"https://inglotcosmetics.com/stores","MACY'S FASHION VALLEY MALL","7017 Friars Rd","San Diego","CA","92108","US","449","<MISSING>","<MISSING>","32.76742178230076","-117.16740280061168","<MISSING>"
"https://inglotcosmetics.com/stores","MACY'S KA MAKANA","91-5431 Kapolei Pkwy","Kapolei","HI","96707","US","424","<MISSING>","<MISSING>","21.335422599616116","-158.05215818222638","<MISSING>"
