"locator_domain","page_url","location_name","street_address","city","state","zip","country_code","store_number","phone","location_type","latitude","longitude","hours_of_operation"
"www.topshop.com","https://www.topshop.com/store-locator?country=Canada","Topshop Guildford","GUILDFORD TOWN CENTRE  1400 GUILDFORD TOWN CENTRE","SURREY","BC","<MISSING>","CA","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"www.topshop.com","https://www.topshop.com/store-locator?country=Canada","Topshop Kamloops","PACIFIC CENTRE  674 GRANVILLE STREET","VANCOUVER","BC","<MISSING>","CA","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"www.topshop.com","https://www.topshop.com/store-locator?country=Canada","Topshop Kingston Cataraqi Centre","PACIFIC CENTRE  674 GRANVILLE STREET","Kingston","BC","K7M 7H4","CA","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"www.topshop.com","https://www.topshop.com/store-locator?country=Canada","Topshop Kingsway","KINGSWAY GARDEN MALL  109TH ST PRINCESS ELIZ AVE","EDMONTON","AB","<MISSING>","CA","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"www.topshop.com","https://www.topshop.com/store-locator?country=Canada","Topshop Kitchener","KINGSWAY GARDEN MALL  109TH ST PRINCESS ELIZ AVE","ON  N2C 2J7","ON","N2C2J7","CA","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"www.topshop.com","https://www.topshop.com/store-locator?country=Canada","Topshop Langley","WILLOWBROOK MALL  #320 - 19705 FRASER HWY","LANGLEY","BC","V3A 7E9","CA","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"www.topshop.com","https://www.topshop.com/store-locator?country=Canada","Topshop Lasalle","CARREFOUR ANGRIGNON, 7091 BOUL, ","NEWMAN, ","<MISSING>","<MISSING>","CA","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"www.topshop.com","https://www.topshop.com/store-locator?country=Canada","Topshop Laurier","PLACE LAURIER  2740 BOUL. LAURIER","SAINT-FOY","QC","<MISSING>","CA","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"www.topshop.com","https://www.topshop.com/store-locator?country=Canada","Topshop Laval","CENTRE LAVAL  1600 BOUL. LE CORBUSIER","DORVAL","QC","<MISSING>","CA","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"www.topshop.com","https://www.topshop.com/store-locator?country=Canada","Topshop Lethbridge","LETHBRIDGE CENTRE MALL  200 4TH AVENUE SOUTH","LETHBRIDGE","AB","<MISSING>","CA","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"www.topshop.com","https://www.topshop.com/store-locator?country=Canada","Topshop Limeridge","LIMERIDGE MALL  999 UPPER WENTWORTH ST.","HAMILTON","ON","<MISSING>","CA","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"www.topshop.com","https://www.topshop.com/store-locator?country=Canada","Topshop London White Oaks","WHITE OAKS MALL  1105 WELLINGTON RD. SOUTH","LONDON","ON","<MISSING>","CA","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"www.topshop.com","https://www.topshop.com/store-locator?country=Canada","Topshop Londonderry","LONDONDERRY MALL N.W.","EDMONTON","AB","<MISSING>","CA","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"www.topshop.com","https://www.topshop.com/store-locator?country=Canada","Topshop Lougheed","LOUGHEED MALL  9855 AUSTIN ROAD","BURNABY","BC","<MISSING>","CA","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"www.topshop.com","https://www.topshop.com/store-locator?country=Canada","Topshop Mapleview The Bay","Mapleview Mall  900 Maple Avenue","Burlington","Ontario","L7s 2j8","CA","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"www.topshop.com","https://www.topshop.com/store-locator?country=Canada","Topshop Market Mall The Bay","Market Mall  3625 Shaganappi Trail Nw","Calgary","Alberta","T3a 0e2","CA","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"www.topshop.com","https://www.topshop.com/store-locator?country=Canada","Topshop Markville","MARKVILLE SHOPPING CENTRE  5000 HWY 7","MARKHAM","ON","<MISSING>","CA","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"www.topshop.com","https://www.topshop.com/store-locator?country=Canada","Topshop Masonville","1680 Richmond Street ","London","Ontario","N6g 3y9","CA","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"www.topshop.com","https://www.topshop.com/store-locator?country=Canada","Topshop Mayfair","MAYFAIR SHOPPING CENTRE  #221 - 3125 DOUGLAS STREET","VICTORIA","BC","V8Z 6E3","CA","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"www.topshop.com","https://www.topshop.com/store-locator?country=Canada","Topshop Medicine Hat","MEDICINE HAT SHOPPING MALL  3292 DUNMORE ROAD SE","MEDICINE HAT","AB","<MISSING>","CA","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"www.topshop.com","https://www.topshop.com/store-locator?country=Canada","Topshop Metrotown Centre The Bay","Metrotown Centre  4850 Kingsway","Burnaby","Bc","V5h 4p2","CA","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"www.topshop.com","https://www.topshop.com/store-locator?country=Canada","Topshop Midtown Plaza The Bay","Midtown Plaza  201 First Avenue South","Saskatoon","Sk","S7k 3m1","CA","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"www.topshop.com","https://www.topshop.com/store-locator?country=Canada","Topshop Montreal Temp","Midtown Plaza  201 First Avenue South","Montreal","Sk","H3B 3Y5","CA","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"www.topshop.com","https://www.topshop.com/store-locator?country=Canada","Topshop Nanaimo","WOODGROVE CENTRE  6631 ISLAND HWY.","NANAIMO","BC","V9T 4T7","CA","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"www.topshop.com","https://www.topshop.com/store-locator?country=Canada","Topshop Oakridge","OAKRIDGE SHOPPING CENTRE  650 41ST AVENUE","WEST VANCOUVER","BC","V5Z 2M9","CA","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"www.topshop.com","https://www.topshop.com/store-locator?country=Canada","Topshop Oakville Place","240 Leighland Ave ","Oakville","On","L6h 3h6","CA","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"www.topshop.com","https://www.topshop.com/store-locator?country=Canada","Topshop Orchard Park The Bay","Orchard Park Shopping Centre  1415-2271 Harvey Ave.","Kelowna","Bc","V1y 6h3","CA","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"www.topshop.com","https://www.topshop.com/store-locator?country=Canada","Topshop Orleans","PLACE D'ORLEANS  110 PLACE D'ORLEANS DRIVE","ORLEANS","ON","<MISSING>","CA","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"www.topshop.com","https://www.topshop.com/store-locator?country=Canada","Topshop Oshawa","OSHAWA SHOPPING CENTRE  419 KING STREET W","OSHAWA","ON","L1J 2K5","CA","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"www.topshop.com","https://www.topshop.com/store-locator?country=Canada","Topshop Park Royal","PARK ROYAL SHOPPING CTR  725 PARK ROYAL NORTH","W VANCOUVER","BC","V7T 1H9","CA","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"www.topshop.com","https://www.topshop.com/store-locator?country=Canada","Topshop Pen Centre","PEN CENTRE SHOPPING PLAZA  221 GLENDALE AVENUE","ST.CATHERINES","ON","<MISSING>","CA","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"www.topshop.com","https://www.topshop.com/store-locator?country=Canada","Topshop Penticton","CHERRY LANE SHOPPING CTR  2111 MAIN STREET","PENTICTON","BC","V2A 6V1","CA","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"www.topshop.com","https://www.topshop.com/store-locator?country=Canada","Topshop Pickering","PICKERING TOWN CENTRE  1355 KINGSTON ROAD","PICKERING","ON","L1V 1B8","CA","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"www.topshop.com","https://www.topshop.com/store-locator?country=Canada","Topshop Pointe Claire Temp","PICKERING TOWN CENTRE  1355 KINGSTON ROAD","Pointe-claire","ON","H9R 1C5","CA","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"www.topshop.com","https://www.topshop.com/store-locator?country=Canada","Topshop Polo Park","PICKERING TOWN CENTRE  1355 KINGSTON ROAD","Winnipeg","ON","R3G 0W4","CA","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"www.topshop.com","https://www.topshop.com/store-locator?country=Canada","Topshop Prince George","PARKWOOD SHOPPING CENTRE  140- 1600 15TH AVENUE","PRINCE GEORGE","BC","<MISSING>","CA","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"www.topshop.com","https://www.topshop.com/store-locator?country=Canada","Topshop Queen Street","The Bay Queens Street, 176 Yonge Street","<MISSING>","<MISSING>","M5C 2L6","CA","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"www.topshop.com","https://www.topshop.com/store-locator?country=Canada","Topshop Red Deer","BOWER MALL  4900 MOLLY BANNISTER DR.","RED DEER","AB","T4R 1N9","CA","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"www.topshop.com","https://www.topshop.com/store-locator?country=Canada","Topshop Regina","CORNWALL CENTRE REGINA  2150 -11TH AVENUE","REGINA","SK","S4P 0J5","CA","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"www.topshop.com","https://www.topshop.com/store-locator?country=Canada","Topshop Richmond Hill","L4C4X5  9350 YONGE STREET","RICHMOND HILL","ON","<MISSING>","CA","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"www.topshop.com","https://www.topshop.com/store-locator?country=Canada","Topshop Rideau","73 Rideau St, ","Ottawa, ","5W8","K1N 5W8","CA","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"www.topshop.com","https://www.topshop.com/store-locator?country=Canada","Topshop Rockland","CENTRE ROCKLAND  2435 ROCKLAND ROAD","TMR","QC","<MISSING>","CA","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"www.topshop.com","https://www.topshop.com/store-locator?country=Canada","Topshop Rosemere","PLACE ROSEMERE  401 BOUL. LABELLE","ROSEMERE","QC","J7A 3T2","CA","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"www.topshop.com","https://www.topshop.com/store-locator?country=Canada","Topshop Saskatoon","MIDTOWN PLAZA  201 FIRST AVENUE SOUTH","SASKATOON","SK","S7K 3M1","CA","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
