locator_domain,location_name,street_address,city,state,zip,country_code,latitude,longitude
https://www.shopnsavefood.com/DesktopModules/StoreLocator/API/StoreWebAPI.asmx/GetAllStores,AC&T Exxon Travel Center,11564 Hopewell Rd.,Hagerstown,MD,21740,US,39.631447,-77.784293
https://www.shopnsavefood.com/DesktopModules/StoreLocator/API/StoreWebAPI.asmx/GetAllStores,Airport-Pittsburgh Int'l,Pitsburgh Int'l Airport - near parking lot,Aliquippa,PA,15231,US,40.4943071,-80.2671737
https://www.shopnsavefood.com/DesktopModules/StoreLocator/API/StoreWebAPI.asmx/GetAllStores,Aliquippa,2680 Brodhead Road,Aliquippa,PA,15001,US,40.6061231,-80.2835837
https://www.shopnsavefood.com/DesktopModules/StoreLocator/API/StoreWebAPI.asmx/GetAllStores,"Aliquippa, Hopewell",2046 Brodhead - 5 Points Intersection,Aliquippa,PA,15001,US,40.5693741,-80.2594466
https://www.shopnsavefood.com/DesktopModules/StoreLocator/API/StoreWebAPI.asmx/GetAllStores,Allison Park,4785 Wm. Flynn. Hwy. Rt. 8,Allison Park,PA,15101,US,40.596914,-79.947908
https://www.shopnsavefood.com/DesktopModules/StoreLocator/API/StoreWebAPI.asmx/GetAllStores,Ambridge,2910 Duss Avenue,Ambridge,PA,15003,US,40.611713,-80.226221
https://www.shopnsavefood.com/DesktopModules/StoreLocator/API/StoreWebAPI.asmx/GetAllStores,Ambridge,800 Merchant Street,Ambridge,PA,15003,US,40.589372,-80.2311673
https://www.shopnsavefood.com/DesktopModules/StoreLocator/API/StoreWebAPI.asmx/GetAllStores,Avalon,400 Union Ave,Avalon,PA,15202,US,"40.504092
","-80.0622012
"
https://www.shopnsavefood.com/DesktopModules/StoreLocator/API/StoreWebAPI.asmx/GetAllStores,Baldwin,Curry Hollow & Keeport,Pleasant Hills,PA,15236,US,40.33514,-79.98324
https://www.shopnsavefood.com/DesktopModules/StoreLocator/API/StoreWebAPI.asmx/GetAllStores,"Beaver, West Bridgewater",1199 Third Street,Beaver,PA,15009,US,40.6919313,-80.3144308
https://www.shopnsavefood.com/DesktopModules/StoreLocator/API/StoreWebAPI.asmx/GetAllStores,Beechview,1721 Banksville Road.,Pittsburgh,PA,15216,US,40.40009,-80.04617
https://www.shopnsavefood.com/DesktopModules/StoreLocator/API/StoreWebAPI.asmx/GetAllStores,Belington Express,806 Crim Avenue ,Belington,WV,26250,US,39.022257,-79.936953
https://www.shopnsavefood.com/DesktopModules/StoreLocator/API/StoreWebAPI.asmx/GetAllStores,Bellevue,4528 Ohio River Boulevard,Bellevue,PA,15202,US,40.492014,-80.061497
https://www.shopnsavefood.com/DesktopModules/StoreLocator/API/StoreWebAPI.asmx/GetAllStores,Bethel Park,5001 Library Road,Bethel Park,PA,15102,US,40.342063,-80.025895
https://www.shopnsavefood.com/DesktopModules/StoreLocator/API/StoreWebAPI.asmx/GetAllStores,BFS - Bridgeport,51 Genesis Blvd,Bridgeport,WV,26330,US,39.3221619,-80.2326953
https://www.shopnsavefood.com/DesktopModules/StoreLocator/API/StoreWebAPI.asmx/GetAllStores,BFS - Clarksburg,106 Wilsonburg Rd,Clarksburg,WV,26301,US,39.2864039,-80.3834048
https://www.shopnsavefood.com/DesktopModules/StoreLocator/API/StoreWebAPI.asmx/GetAllStores,BFS - South Fairmont SNS Cheat Lake,169 Fairchance Rd.,Morgantown,WV,26508,US,39.59532,-79.92287
https://www.shopnsavefood.com/DesktopModules/StoreLocator/API/StoreWebAPI.asmx/GetAllStores,BFS - South Fairmont SNS Clarksburg,608 Emily Dr.,Clarksburg,WV,26301,US,39.3287,-80.27337
https://www.shopnsavefood.com/DesktopModules/StoreLocator/API/StoreWebAPI.asmx/GetAllStores,BFS - South Fairmont SNS Glenmark,204 Venture Dr,Morgantown,WV,26508,US,39.59532,-79.92287
https://www.shopnsavefood.com/DesktopModules/StoreLocator/API/StoreWebAPI.asmx/GetAllStores,BFS - South Fairmont SNS Kingmont,2201 Pleasant Valley Rd.,Fairmont,WV,26554,US,39.49411,-80.22128
https://www.shopnsavefood.com/DesktopModules/StoreLocator/API/StoreWebAPI.asmx/GetAllStores,BFS - South Fairmont SNS Mileground,1766 Mileground Rd.,Morgantown,WV,26505,US,39.59532,-79.92287
https://www.shopnsavefood.com/DesktopModules/StoreLocator/API/StoreWebAPI.asmx/GetAllStores,BFS - South Fairmont SNS White Hall,9615 Mall Loop,Fairmont,WV,26301,US,39.429370,-80.187752
https://www.shopnsavefood.com/DesktopModules/StoreLocator/API/StoreWebAPI.asmx/GetAllStores,BFS-McHenry,24179 Garret Hwy,McHenry,MD,21541,US,39.556406,-79.351715
https://www.shopnsavefood.com/DesktopModules/StoreLocator/API/StoreWebAPI.asmx/GetAllStores,Bloomfield,4068 Penn Avenue,Bloomfield,PA,15224,US,40.4654193,-79.9555033
https://www.shopnsavefood.com/DesktopModules/StoreLocator/API/StoreWebAPI.asmx/GetAllStores,Bloomfield,4779 Liberty St. at Mathilda,Bloomfield,PA,15224,US,40.461144,-79.947298
https://www.shopnsavefood.com/DesktopModules/StoreLocator/API/StoreWebAPI.asmx/GetAllStores,Bolivar,455 Main Street,Bolivar,NY,14715,US,42.064109,-78.16824
https://www.shopnsavefood.com/DesktopModules/StoreLocator/API/StoreWebAPI.asmx/GetAllStores,Brentwood,2929 Churchview Avenue,Brentwood,PA,15227,US,40.38051,-79.96672
