locator_domain,location_name,street_address,city,state,zip,country_code,store_number,phone,location_type,latitude,longitude,hours_of_operation,raw_address
https://dickshomecare.com/contact/,Dickshomecare Altoona Location,401 Maple Avenue,Altoona,PA,16601,US,<MISSING>,8149496764,<MISSING>,<MISSING>,<MISSING>,"9:00 to 5:00 M-F,Closed Sat./Sun.","['401 Maple Avenue', 'Altoona, PA 16601']"
https://dickshomecare.com/contact/,Dickshomecare Philipsburg Location,1063 N. Front Street,Philipsburg,PA,16866,US,<MISSING>,8143420900,<MISSING>,<MISSING>,<MISSING>,"9:00 to 5:00 M-F,Closed Sat./Sun.","['1063 N. Front Street', 'Philipsburg, PA 16866']"
https://dickshomecare.com/contact/,Dickshomecare College Location,1300 Benner Pike,State College,PA,16801,US,<MISSING>,8148671970,<MISSING>,<MISSING>,<MISSING>,"9:00 to 5:00 M-F,Closed Sat./Sun.","['1300 Benner Pike', 'State College, PA 16801']"
https://dickshomecare.com/contact/,Dickshomecare Lewistown Location,224 N. Logan Boulevard,Burnham,PA,17009,US,<MISSING>,7172470445,<MISSING>,<MISSING>,<MISSING>,"9:00 to 5:00 M-F,Closed Sat./Sun.","['224 N. Logan Boulevard', 'Burnham, PA 17009']"
https://dickshomecare.com/contact/,Dickshomecare Huntingdon Location,8994 William Penn Highway,Huntingdon,PA,16652,US,<MISSING>,8146432397,<MISSING>,<MISSING>,<MISSING>,"9:00 to 5:00 M-F,Closed Sat./Sun.","['8994 William Penn Highway', 'Huntingdon, PA 16652']"
https://dickshomecare.com/contact/,Dickshomecare McConnellsburg Location,416 Lincoln Way East,McConnellsburg,PA,17233,US,<MISSING>,7179874007,<MISSING>,<MISSING>,<MISSING>,"8:30 to 4:30 M-F,Closed Sat./Sun.","['416 Lincoln Way East', 'McConnellsburg, PA 17233']"
https://dickshomecare.com/contact/,Dickshomecare Chambersburg Location,440 Gateway Avenue,Chambersburg,PA,17201,US,<MISSING>,7172641799,<MISSING>,<MISSING>,<MISSING>,"9:00 to 5:00 M-F,Closed Sat./Sun.","['440 Gateway Avenue', 'Chambersburg, PA 17201']"
https://dickshomecare.com/contact/,Dickshomecare Gettysburg Location,<INACCESSIBLE>,<INACCESSIBLE>,PA,17325,US,<MISSING>,7173380711,<MISSING>,<MISSING>,<MISSING>,"9:00 to 5:00 M-F,Closed Sat./Sun.","['<span style=""font-family: \'PT Sans\', Arial, Helvetica, sans-serif; font-size: 16px; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: 400; text-align: justify;"">238 West Street</span><br style=""font-family: \'PT Sans\', Arial, Helvetica, sans-serif; text-align: justify;""><span style=""font-family: \'PT Sans\', Arial, Helvetica, sans-serif; font-size: 16px; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: 400; text-align: justify;"">Gettysburg,</span><span style=""font-family: \'PT Sans\', Arial, Helvetica, sans-serif; font-size: 16px; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: 400; text-align: justify;""> </span><span style=""font-family: \'PT Sans\', Arial, Helvetica, sans-serif; font-size: 16px; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: 400; text-align: justify;"">PA</span><span style=""font-family: \'PT Sans\', Arial, Helvetica, sans-serif; font-size: 16px; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: 400; text-align: justify;""> </span><span style=""font-family: \'PT Sans\', Arial, Helvetica, sans-serif; font-size: 16px; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: 400; text-align: justify;"">17325</span>']"
