locator_domain,location_name,street_address,city,state,zip,country_code,store_number,phone,location_type,latitude,longitude,hours_of_operation,page_url
http://weingartenrealty.propertycapsule.com/,Pueblo Anozira,Guadalupe Rd at McClintock Dr,Tempe,AZ,85283,US,<MISSING>,<MISSING>,<MISSING>,33.362994,-111.910151,<MISSING>,http://weingartenrealty.propertycapsule.com/cre/commercial-real-estate-listings/tempe/arizona+/puebloanozira/overview
http://weingartenrealty.propertycapsule.com/,Mainland Mall,FM 1765 at SH 3,Texas City,TX,77591,US,<MISSING>,<MISSING>,<MISSING>,29.381151,-94.972877,<MISSING>,http://weingartenrealty.propertycapsule.com/cre/commercial-real-estate-listings/Texas+City-TX
http://weingartenrealty.propertycapsule.com/,Tomball Marketplace,SH 249 at FM 2920,Tomball,TX,77375,US,<MISSING>,<MISSING>,<MISSING>,30.086836,-95.63877,<MISSING>,http://weingartenrealty.propertycapsule.com/cre/commercial-real-estate-listings/Tomball-TX
http://weingartenrealty.propertycapsule.com/,Shoppes at Bears Path,Tanque Verde Rd at Bear Canyon Rd,Tucson,AZ,43928,US,<MISSING>,<MISSING>,<MISSING>,32.25765,-110.803154,<MISSING>,http://weingartenrealty.propertycapsule.com/cre/commercial-real-estate-listings/tucson/arizona+/shoppesatbearspath/overview
http://weingartenrealty.propertycapsule.com/,South Fulton Crossing,S Fulton Pkwy at SH 92,Union City,GA,30213,US,<MISSING>,<MISSING>,<MISSING>,33.613368,-84.614017,<MISSING>,http://weingartenrealty.propertycapsule.com/cre/commercial-real-estate-listings/Union+City-GA
http://weingartenrealty.propertycapsule.com/,Wake Forest Crossing II,Capital Blvd at Stadium Dr,Wake Forest,NC,27587,US,<MISSING>,<MISSING>,<MISSING>,35.989518,-78.529383,<MISSING>,http://weingartenrealty.propertycapsule.com/cre/commercial-real-estate-listings/wake+forest/north+carolina/wakeforestcrossingii/overview
http://weingartenrealty.propertycapsule.com/,Baybrook Gateway,Bay Area Blvd at I-45,Webster,TX,77598,US,<MISSING>,<MISSING>,<MISSING>,29.539915,-95.137636,<MISSING>,http://weingartenrealty.propertycapsule.com/cre/commercial-real-estate-listings/Webster-TX
http://weingartenrealty.propertycapsule.com/,Wellington Green Commons,SR 7 at Lime Dr,Wellington,FL,33414,US,<MISSING>,<MISSING>,<MISSING>,26.641758,-80.205541,<MISSING>,http://weingartenrealty.propertycapsule.com/cre/commercial-real-estate-listings/Wellington-FL
http://weingartenrealty.propertycapsule.com/,West Jordan Town Center,S Redwood Rd at W 7000 S,West Jordan,UT,84084,US,<MISSING>,<MISSING>,<MISSING>,40.626726,-111.94077,<MISSING>,http://weingartenrealty.propertycapsule.com/cre/commercial-real-estate-listings/West+Jordan-UT
http://weingartenrealty.propertycapsule.com/,Westminster Center,Westminster Blvd at Goldenwest St,Westminster,CA,92683,US,<MISSING>,<MISSING>,<MISSING>,33.760579,-118.009633,<MISSING>,http://weingartenrealty.propertycapsule.com/cre/commercial-real-estate-listings/Westminster-CA
http://weingartenrealty.propertycapsule.com/,Winter Park Corners,Aloma Ave at Lakemont Ave,Winter Park,FL,32792,US,<MISSING>,<MISSING>,<MISSING>,28.600979,-81.326825,<MISSING>,http://weingartenrealty.propertycapsule.com/cre/commercial-real-estate-listings/Winter+Park-FL
