locator_domain,location_name,street_address,city,state,zip,country_code,store_number,phone,location_type,latitude,longitude,hours_of_operation
https://backwoods.com/store-locations/omaha/,Backwoods Omaha,2289 S 67th St.,Omaha,NE,68106,US,<MISSING>,4023450303,<MISSING>,-96.01624428233656,41.2384,Sunday10am - 3pm; Monday10am - 7pm; Tuesday10am - 7pm; Wednesday10am - 7pm; Thursday10am - 7pm; Friday10am - 7pm; Saturday10am - 6pm 
https://backwoods.com/store-locations/fort-worth/,Backwoods Fort Worth,441 Carroll Street,Fort Worth,TX,76107,US,<MISSING>,8173322423,<MISSING>,-97.35289760226307,32.7534,Sunday12pm - 6pm; Monday10am - 8pm; Tuesday10am - 8pm; Wednesday10am - 8pm; Thursday10am - 8pm; Friday10am - 8pm; Saturday10am - 7pm 
https://backwoods.com/store-locations/oklahoma-city/,Backwoods Oklahoma City,12325 N. May Ave Suite 103,Oklahoma City,OK,73120,US,<MISSING>,4057517376,<MISSING>,-97.57069920094165,35.5957,Sunday12pm - 5pm; Monday10am - 7pm; Tuesday10am - 7pm; Wednesday10am - 7pm; Thursday10am - 7pm; Friday10am - 7pm; Saturday10am - 6pm 
https://backwoods.com/store-locations/tulsa/,Backwoods Tulsa,6508 E. 51st St.,Tulsa,OK,74145,US,<MISSING>,9186647850,<MISSING>,-95.90519701269353,36.0892,Holiday Hours Effective 12/15-12/23/18 Sunday12pm - 5pm; Monday10am - 7pm; Tuesday10am - 7pm; Wednesday10am - 7pm; Thursday10am - 7pm; Friday10am - 7pm; Saturday10am - 6pm 
https://backwoods.com/store-locations/backwoods-paddlesports/,Backwoods Paddlesports,480 North Taylor St.,Fort Worth,TX,76102,US,<MISSING>,8174702613,<MISSING>,-97.34006821219471,32.7591,<MISSING>
