ar, 1 
ar, 1 
br, 3 
ca, 9 
mx, 19 
us, 90 
il, 0 
ae, 8 
au, 4 
cn, 76 
hk, 7 
in, 3 
id, 3 
jp, 27 
kr, 19 
mo, 5 
my, 3 
nz, 2 
sg, 2 
tw, 1 
th, 4 
at, 3 
be, 3 
bg, 1 
cz, 1 
dk, 0 
ee, 0 
fi, 0 
fr, 6 
de, 18 
gr, 3 
hu, 1 
ie, 0 
it, 30 
lv, 1 
lt, 1 
lu, 0 
nl, 4 
no, 0 
pl, 2 
pt, 5 
ro, 0 
ru, 14 
sk, 0 
si, 0 
es, 15 
se, 0 
ch, 9 
tr, 4 
ua, 1 
gb, 6 
ar, 1 
br, 3 
ca, 9 
mx, 19 
us, 90 
il, 0 
ae, 8 
au, 4 
cn, 76 
hk, 7 
in, 3 
id, 3 
jp, 27 
kr, 19 
mo, 5 
my, 3 
nz, 2 
sg, 2 
tw, 1 
th, 4 
at, 3 
be, 3 
bg, 1 
cz, 1 
dk, 0 
ee, 0 
fi, 0 
fr, 6 
de, 18 
gr, 3 
hu, 1 
ie, 0 
it, 30 
lv, 1 
lt, 1 
lu, 0 
nl, 4 
no, 0 
pl, 2 
pt, 5 
ro, 0 
ru, 14 
sk, 0 
si, 0 
es, 15 
se, 0 
ch, 9 
tr, 4 
ua, 1 
gb, 6 
kr, 19 
kr, 19 
kr, 19 
kr, 19 
kr, 19 
kr, 19 
kr, 19 
