"page_url","location_name","street_address","city","state","zip","country_code","store_number","phone","location_type","latitude","longitude","locator_domain","hours_of_operation","raw_address","record_id"
"<MISSING>","紅磡灣中心","紅磡灣中心地下8號舖","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>","23622034","紅磡灣中心","22.3053679","114.1860381","mcdonalds.com.hk","<MISSING>","<MISSING>","location_name:latitude:longitude"
"<MISSING>","美孚廣場","119號舖","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>","21483022","美孚廣場","22.335967","114.141406","mcdonalds.com.hk","<MISSING>","<MISSING>","location_name:latitude:longitude"
"<MISSING>","太子匯","448號 太子道西","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>","27162678","太子匯","22.328105","114.190709","mcdonalds.com.hk","<MISSING>","<MISSING>","location_name:latitude:longitude"
"<MISSING>","海逸豪園","30-32號舖 Ug層","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>","27749631","海逸豪園","22.3088208","114.1910993","mcdonalds.com.hk","<MISSING>","<MISSING>","location_name:latitude:longitude"
"<MISSING>","黃大仙中心南館","1樓 123號鋪","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>","23221565","黃大仙中心南館","22.3412668","114.1950937","mcdonalds.com.hk","<MISSING>","<MISSING>","location_name:latitude:longitude"
"<MISSING>","衛城道","半山 衛城道3號至3號A地下下層","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>","29152623","衛城道","22.2818833","114.151065","mcdonalds.com.hk","<MISSING>","<MISSING>","location_name:latitude:longitude"
"<MISSING>","般咸道","好景洋樓地下A-C及低層地下 西區般咸道51-53號","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>","25461671","般咸道","22.2849001","114.1413111","mcdonalds.com.hk","<MISSING>","<MISSING>","location_name:latitude:longitude"
"<MISSING>","海富中心","1-41號舖","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>","25201329","海富中心","22.2793623","114.1649799","mcdonalds.com.hk","<MISSING>","<MISSING>","location_name:latitude:longitude"
"<MISSING>","麗晶花園","218-1號舖 及停","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>","27590623","麗晶花園","22.330652","114.206785","mcdonalds.com.hk","<MISSING>","<MISSING>","location_name:latitude:longitude"
"<MISSING>","駱克道","2樓 駱克道151號","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>","28277537","駱克道","22.278259","114.172151","mcdonalds.com.hk","<MISSING>","<MISSING>","location_name:latitude:longitude"
"<MISSING>","亞州貨櫃物流中心","12 字樓","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>","24190262","亞州貨櫃物流中心","22.3433531","114.1250153","mcdonalds.com.hk","<MISSING>","<MISSING>","location_name:latitude:longitude"
"<MISSING>","囍寓","74-80號地庫及地下","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>","25298273","囍寓","22.2762612","114.1721049","mcdonalds.com.hk","<MISSING>","<MISSING>","location_name:latitude:longitude"
"<MISSING>","西寶城","8號 西環卑路乍街","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>","25427361","西寶城","22.284968","114.1332523","mcdonalds.com.hk","<MISSING>","<MISSING>","location_name:latitude:longitude"
"<MISSING>","景星中心","北角英皇道25-27號景星商業中心地下2號舖及一樓","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>","28070258","景星中心","22.2837975","114.1924124","mcdonalds.com.hk","<MISSING>","<MISSING>","location_name:latitude:longitude"
"<MISSING>","顯徑邨","301B號舖","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>","26813221","顯徑邨","22.3635027","114.1720137","mcdonalds.com.hk","<MISSING>","<MISSING>","location_name:latitude:longitude"
"<MISSING>","銅鑼灣道","銅鑼灣道11-17A國泰大廈一樓A","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>","28949677","銅鑼灣道","22.2790551","114.1880455","mcdonalds.com.hk","<MISSING>","<MISSING>","location_name:latitude:longitude"
"<MISSING>","健康邨","北角七姊妹道194號健康邨第一期地下C舖","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>","25639482","健康邨","22.2918344","114.2060878","mcdonalds.com.hk","<MISSING>","<MISSING>","location_name:latitude:longitude"
"<MISSING>","淘大商場","淘大花園商場第二期地下G246-253號舖 牛頭角道77號","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>","27986967","淘大商場","22.3244614","114.2163021","mcdonalds.com.hk","<MISSING>","<MISSING>","location_name:latitude:longitude"
"<MISSING>","創紀之城","1A地下","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>","22671638","創紀之城","22.3146929","114.2195682","mcdonalds.com.hk","<MISSING>","<MISSING>","location_name:latitude:longitude"
"<MISSING>","樂華邨","310號舖","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>","23051384","樂華邨","22.3217722","114.2198737","mcdonalds.com.hk","<MISSING>","<MISSING>","location_name:latitude:longitude"
"<MISSING>","葵昌路","1樓1號舖 葵昌路","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>","24229256","葵昌路","22.3634404","114.1325556","mcdonalds.com.hk","<MISSING>","<MISSING>","location_name:latitude:longitude"
"<MISSING>","牛頭角道","地庫及地下 頭角道327-333號","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>","23442756","牛頭角道","22.3149965","114.2223784","mcdonalds.com.hk","<MISSING>","<MISSING>","location_name:latitude:longitude"
"<MISSING>","嘉業大廈","1 Lai Chi Kwok Road G/","Kowloon","<MISSING>","<MISSING>","<MISSING>","<MISSING>","23802850","嘉業大廈","22.3221308","114.1684822","mcdonalds.com.hk","<MISSING>","<MISSING>","location_name:latitude:longitude"
"<MISSING>","葵盛東邨","105號舖","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>","29449196","葵盛東邨","22.3641144","114.1270786","mcdonalds.com.hk","<MISSING>","<MISSING>","location_name:latitude:longitude"
"<MISSING>","石蔭邨","Lg213及214號舖","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>","22760880","石蔭邨","22.3715263","114.1385792","mcdonalds.com.hk","<MISSING>","<MISSING>","location_name:latitude:longitude"
"<MISSING>","翠怡花園","翠怡花園商場地下G2號舖 楓樹窩路","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>","24358772","翠怡花園","22.3532263","114.10909","mcdonalds.com.hk","<MISSING>","<MISSING>","location_name:latitude:longitude"
"<MISSING>","鯉魚門廣場","201號舖","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>","31940307","鯉魚門廣場","22.3101991","114.2287405","mcdonalds.com.hk","<MISSING>","<MISSING>","location_name:latitude:longitude"
"<MISSING>","麗港城","6-9號舖","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>","23463285","麗港城","22.3069361","114.2281319","mcdonalds.com.hk","<MISSING>","<MISSING>","location_name:latitude:longitude"
"<MISSING>","翠屏邨","觀塘翠屏邨翠屏商場地下5號舖","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>","22646215","翠屏邨","22.3165412","114.2296358","mcdonalds.com.hk","<MISSING>","<MISSING>","location_name:latitude:longitude"
"<MISSING>","長康邨","青衣長康邨長康商場一期地下101號舖","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>","21466914","長康邨","22.350027","114.105611","mcdonalds.com.hk","<MISSING>","<MISSING>","location_name:latitude:longitude"
"<MISSING>","石圍角邨","荃灣石圍角邨石圍角商場平台324號舖","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>","24156879","石圍角邨","22.375568","114.136128","mcdonalds.com.hk","<MISSING>","<MISSING>","location_name:latitude:longitude"
"<MISSING>","秀茂坪邨","觀塘秀茂坪邨秀茂坪商場地下1號舖","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>","23548506","秀茂坪邨","22.3194881","114.2319161","mcdonalds.com.hk","<MISSING>","<MISSING>","location_name:latitude:longitude"
"<MISSING>","博康邨","210號舖","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>","21445203","博康邨","22.3754592","114.1956878","mcdonalds.com.hk","<MISSING>","<MISSING>","location_name:latitude:longitude"
"<MISSING>","好望角大廈","好望角大廈地下及地庫 彌敦道612-618號","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>","23842728","好望角大廈","22.3173731","114.1700381","mcdonalds.com.hk","<MISSING>","<MISSING>","location_name:latitude:longitude"
"<MISSING>","置富","426-432號舖","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>","28753720","置富","22.2560275","114.1388493","mcdonalds.com.hk","<MISSING>","<MISSING>","location_name:latitude:longitude"
"<MISSING>","綠楊坊","荃灣綠楊坊二樓S1-2號舖","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>","24022527","綠楊坊","22.3729004","114.1191563","mcdonalds.com.hk","<MISSING>","<MISSING>","location_name:latitude:longitude"
"<MISSING>","德田邨","104A號舖","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>","27178546","德田邨","22.3082273","114.2351489","mcdonalds.com.hk","<MISSING>","<MISSING>","location_name:latitude:longitude"
"<MISSING>","寶達邨","206號舖","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>","21904206","寶達邨","22.317468","114.2364229","mcdonalds.com.hk","<MISSING>","<MISSING>","location_name:latitude:longitude"
"<MISSING>","南豐中心","301號舖 青山道264-298號","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>","24111531","南豐中心","22.3738014","114.1163447","mcdonalds.com.hk","<MISSING>","<MISSING>","location_name:latitude:longitude"
"<MISSING>","新望大廈","地庫及地下 彌敦道763-767號","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>","23917608","新望大廈","22.3248281","114.1679857","mcdonalds.com.hk","<MISSING>","<MISSING>","location_name:latitude:longitude"
"<MISSING>","愛東邨","筲箕灣愛東邨愛東商場地下11號舖","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>","25604242","愛東邨","22.2808612","114.2277794","mcdonalds.com.hk","<MISSING>","<MISSING>","location_name:latitude:longitude"
"<MISSING>","南康街","18號 南康街","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>","28849853","南康街","22.2782074","114.2259063","mcdonalds.com.hk","<MISSING>","<MISSING>","location_name:latitude:longitude"
"<MISSING>","華富邨","華富 I 邨華富 I 商場1A舖","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>","25518135","華富邨","22.2525","114.1363889","mcdonalds.com.hk","<MISSING>","<MISSING>","location_name:latitude:longitude"
"<MISSING>","油麗邨","5-6號舖","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>","24898777","油麗邨","22.2983917","114.2372842","mcdonalds.com.hk","<MISSING>","<MISSING>","location_name:latitude:longitude"
"<MISSING>","愉翠苑","101號舖","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>","22780155","愉翠苑","22.3821357","114.2051279","mcdonalds.com.hk","<MISSING>","<MISSING>","location_name:latitude:longitude"
"<MISSING>","禾輋邨","245-247號舖","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>","26998365","禾輋邨","22.3879585","114.1952465","mcdonalds.com.hk","<MISSING>","<MISSING>","location_name:latitude:longitude"
"<MISSING>","富運商業中心","569-573A號 彌敦道","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>","27713890","富運商業中心","22.3148953","114.1699917","mcdonalds.com.hk","<MISSING>","<MISSING>","location_name:latitude:longitude"
"<MISSING>","置富第一城","1號 銀城街","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>","26483765","置富第一城","22.3871067","114.2028926","mcdonalds.com.hk","<MISSING>","<MISSING>","location_name:latitude:longitude"
